Na,Mg,Al,Si,P,S,Cl,K,Ca,Fe,Cu,Zn,Ba,Pb,OC,EC,SO4,NO3
0.114015661,0.201869792,0.153765444,0.121099781,0,1.915916045,0.009915006,1.952855656,0.111081206,0.191133139,0.041462123,0.065255375,0.167726545,0.065386563,3.25,0.88,4.244774808,1.18
0.323859779,0.078870025,0.031083408,0.064412626,0,1.625938068,0,0.109806052,0.083930115,0.061022857,0.005017981,0.013088859,0.132250112,0.008400731,3.38,0.46,3.871875375,0.4
0.800733375,0.177365367,0.071331423,0.167609167,0.010391423,2.370770384,0,0.258370135,0.115444913,0.077787224,0.013912769,0.131166688,0.076413209,0.019871439,3.64,0.42,4.934932031,0.48
0.563855779,0.075194205,0.112954607,0.389354635,0,2.052507861,0,0.142876634,0.120654005,0.148998627,0.017643294,0.055577419,0.014564925,0.012577535,4.48,0.37,4.490898192,0.44
0.354089597,0.118751726,0.215471643,0.620866665,0,2.389490274,0,0.171540328,0.212407801,0.252286488,0.004150113,0.02226856,0.041612543,0.010535438,4.2,0.63,4.751292538,0.54
0.282992418,0.110074447,0.029568468,0.117642065,0,1.528048139,0,0.103426456,0.102464709,0.11307903,0.003720629,0.01948767,0.014931655,0.024324487,4.59,2.97,3.048759907,0.41
0.724328849,0.051321513,0.017440717,0.111951789,0,1.909945296,0,0.050609791,0.143401454,0.153872932,0.01793399,0.092580261,0.022091575,0.114298358,6.18,1.72,4.354070361,0.82
0.344810449,0.000774624,0.019475278,0.105465383,0,2.593893153,0,0.059179893,0.153142454,0.136703975,0.00260493,0.010810459,0,0.006299817,4.84,0.7,5.531762935,0.41
0,0.070131733,0.089109122,0.235728191,0,5.010498272,0,0.076521728,0.158002751,0.126754373,0.02743089,0.024782722,0.017828703,0.010709603,4.67,0.46,10.57082489,0.59
0.204664058,0.051894719,0.057572225,0.10526206,0.033608646,1.127480925,0,0.037783104,0.075024624,0.104038932,0.053513386,0.02765122,0.037594462,0.013016276,2.17,0.67,2.35695673,1.15
0.733591328,0.072141909,0.041339272,0.137095601,0,4.38669419,0,0.069088321,0.13163424,0.108504183,0.004183767,0.017977564,0.014601068,0.012853151,4.91,0.34,9.789033022,2.15
0.410135117,0.059882915,0.016503442,0.055233861,0.007373878,2.239973577,0,0.05448945,0.114814798,0.111935474,0.04021924,0.041314787,0.016131237,0.02321016,5.72,0.52,8.092282105,0.76
0.076353313,0.018524038,0.039333103,0.10604472,0.014978068,1.999523293,0,0.04927436,0.137651927,0.136502447,0.049936182,0.062684956,0.033843467,0.028904188,2.83,0.58,3.93687705,0.27
0,0,0.002635097,0.061404698,0.005076029,5.354087492,0,0.046065659,0.062465672,0.087159306,0.001844568,0.013993753,0.065447492,0.00649066,3.12,0.48,12.61927,1.21
0.047674829,0.044590967,0.025115411,0.081958476,0,2.033334218,0,0.051390743,0.093745216,0.080159557,0.001444692,0.021079998,0.012182641,0.009550246,3.57,0.47,5.093426435,0.42
0.802214083,0.10443252,0.078224438,0.152981578,0,3.76258995,0,0.049327994,0.148528548,0.117460735,0.005045848,0.008340815,0.013586567,0.005810998,3.89,0.5,8.458829283,0.57
0.305138636,0.079936237,0.060012127,0.12987699,0.006368663,3.431291546,0,0.054912965,0.124566245,0.084435912,0.026060031,0.227148967,0.016531722,0.043720199,4.6,0.45,7.921773444,0.83
0.138910818,0.044898486,0.046502003,0.040711135,0,3.573189855,0,0.040010909,0.049267896,0.059925334,0.005069636,0.021889062,0,0.015047855,5.26,0.56,7.522160641,1.23
0.285547715,0.1176045,0.071177974,0.074310535,0,7.014816217,0,0.045281666,0.099918873,0.199542752,0.004024569,0.022201853,0.300683745,0.011357291,5.13,1.22,16.14775474,0.66
0.684515238,0.074736931,0.077829254,0.13877234,0,4.935229439,0,0.054570815,0.100531769,0.100337196,0.007623097,0.012431834,0.079281604,0.011236599,4.32,0.67,10.64786238,0.78
0.342631933,0.09272339,0.012803156,0.081896284,0.008007118,2.295174933,0,0.048028987,0.068496197,0.107138948,0.020508378,0.026841343,0.01523205,0.01843627,3.28,0.65,4.504967261,1.17
0.452157225,0.033523108,0.054311064,0.065943666,0,2.524016491,0,0.056844138,0.094212215,0.152521768,0.014500628,0.045281317,0.029678139,0.028938453,4.14,0.64,5.378679318,0.44
0,0.054963124,0.053150458,0.103975364,0,1.234783855,0.053185587,0.0539233,0.143699447,0.295886106,0.035663149,0.131095096,0.034897333,0.070068674,3.24,1.06,3.480792219,0.35
0.117939171,0,0.026283665,0.060098585,0,1.3217696,0,0.03288556,0.076489735,0.073481363,0.023082538,0.031364164,0,0.012776973,2.86,0.72,2.912911809,0.35
0.226382982,0.01367494,0.022507194,0.084107152,0.009221175,1.209090499,0,0.043803718,0.081353346,0.055239229,0.004008388,0.041633291,0.017526505,0.037254801,2.9,0.41,2.36097662,0.36
0.166747615,0.04397314,0.036851352,0.104783302,0.004677705,2.225379001,0,0.05224229,0.170284747,0.236702723,0.024780294,0.045697577,0.03277109,0.054462333,6.24,1.01,4.723485177,0.62
0.443076672,0.023110886,0.103072916,0.292753775,0.111523302,1.95724144,0,0.083816115,0.169525224,0.141552473,0.191580663,0.25128492,0.014585597,0.081432847,4.33,0.83,3.954528691,0.43
0.313346787,0.074216626,0.041366757,0.106236253,0.013961886,1.058176735,0,0.045400345,0.092288205,0.121747923,0.024194606,0.030089317,0.107391672,0.023841754,2.94,1.31,2.677059519,0.62
0.18234385,0.044278552,0.057580479,0.088026659,0.004304765,2.108947092,0,0.043217662,0.051609573,0.100050077,0.006480949,0.012757881,0.021217798,0.005440461,3.52,0.64,5.050774488,1.64
0.094247079,0.093196202,0.057984907,0.079527886,0,2.173600907,0,0.051831745,0.051921623,0.05597303,0.004410918,0.036538719,0.003539796,0.012133482,4.04,0.28,4.866697274,0.92
0.179902292,0.03969909,0.034805061,0.036307188,0.002021296,1.806789682,0,0.033559056,0.074580295,0.069755489,0.0060985,0.008445142,0.017727876,0.003031944,3.89,0.82,4.060175413,0.73
0.20251137,0.095187929,0.031855721,0.073421284,0.015884928,2.411110306,0,0.055504229,0.152681352,0.295481133,0.035705312,0.077936324,0.009437937,0.038109517,7.68,1.87,5.51386418,0.95
0.028529228,0.100440876,0.050430377,0.114244374,0.15222836,2.885493319,0,0.071229346,0.17943797,0.13825991,0.158256612,0.307875728,0.022231054,0.593310463,4.19,0.94,5.622150005,1.17
0.344934673,0.079894158,0.043791416,0.148321284,0,3.430878634,0,0.08871495,0.180986,0.130249077,0.003549154,0.026997183,0.246884963,0.007188599,5.22,0.97,7.440830511,1
0.308106223,0.116869074,0.071884746,0.172605244,0.005493845,2.906702004,0,0.110411031,0.166861679,0.105583106,0.06487177,0.101469659,0.063956129,0.039629215,4.51,0.65,5.193240307,0.55
0.10967203,0.059949866,0.033863095,0.106921036,0.006257829,1.677397809,0,0.043804804,0.101112627,0.105028026,0.01427929,0.016260822,0.017547797,0.008756875,3.19,0.86,3.204462559,0.61
0.374510468,0.056394654,0.018060805,0.079361465,0.004557073,1.384917588,0,0.048173777,0.06598335,0.108302021,0.004550095,0.057525199,0,0.023887996,2.59,0.58,3.049500259,0.42
0,0.093857611,0.029922894,0.085916187,0.003122328,2.721244857,0,0.064734422,0.08964351,0.09403146,0.002023603,0.016133189,0.005507537,0.008727221,4.42,0.53,6.563709457,0.68
0.449567827,0.037318474,0.061492017,0.109000956,0,5.158610269,0,0.065892286,0.163606202,0.159373562,0.106765898,0.046461256,0,0.088962269,6.64,0.67,11.85094106,1.33
0.245990662,0.135681844,0.075912212,0.112056469,0.039967687,4.719611019,0,0.07151812,0.157659435,0.169208192,0.087967431,0.111271809,0.043734051,0.048228008,5.78,0.88,11.66892534,1.38
0.298052971,0.05030057,0.0528403,0.155828091,0,3.627506794,0,0.064196025,0.164532755,0.158854893,0.032995615,0.024951977,0.043523318,0.029196458,4.63,0.95,8.555259498,0.53
0.1547419,0.082903869,0.006306209,0.100743487,0.001108982,5.640124655,0,0.057367319,0.12772471,0.079097365,0.004915486,0.01389524,0,0.003404873,4.39,0.52,12.64,1.01
0.036246233,0.05865438,0.041791159,0.126141876,0.007559375,1.808088933,0,0.054874693,0.164596388,0.068795849,0.003281267,0.007538607,0.020843661,0.002997444,2.18,0.43,4.657154689,0.32
0.562424792,0.019027389,0.053062975,0.150468038,0.000799702,0.764480494,0,0.052401153,0.11793534,0.062714549,0.004336314,0.045293458,0,0.009334451,1.69,0.44,2.198582291,0.23
0.280607175,0.063193147,0.018761964,0.05298302,0.016452694,0.57345965,0.008956131,0.030301463,0.077884766,0.051749582,0.014712176,0.03586564,0,0.007852889,2.01,0.57,1.496130413,0.46
0,0.028402604,0.016610235,0.059321281,0.078440678,0.956045881,0.014847601,0.040402341,0.100387202,0.105944684,0.074597444,0.105834088,0.027683725,0.048586493,3.88,1.16,2.719254671,0.79
0.404871686,0.0757677,0.04966491,0.127263286,0.137001367,1.545201681,0.014749817,0.05967446,0.178257698,0.255876956,0.155043616,0.055323995,0.097352968,0.039669281,6.32,1.41,3.417649466,1.22
0.018670082,0.091084182,0.053252884,0.114153415,0,2.98007068,0,0.061440778,0.151451483,0.205013079,0.015449651,0.071698448,0.054564912,0.015246181,7.64,2.18,9.036636569,1.27
0.444156181,0.042109305,0.062744377,0.12831576,0,3.520501586,0,0.06005494,0.129842755,0.20407399,0.015785831,0.048533691,0.031179595,0.022052014,4.85,1.01,8.389909855,1.44
0.451670138,0.073626173,0.034527604,0.078926247,0.009765879,0.73949365,0,0.03037027,0.060418049,0.057739969,0.001640499,0.013032856,0.012843568,0.00628157,1.49,0.66,1.987767018,0.21
0.111643192,0,0.038292189,0.1377008,0,1.282188242,0,0.06334025,0.130118608,0.106920206,0.004497073,0.020198,0.02816142,0.008104615,2.87,0.68,2.898960088,0.49
0.477080149,0.040333806,0.03447006,0.104519907,0.022406909,3.565308423,0,0.077591885,0.156053742,0.170487052,0.05531513,0.032346507,0,0.039861144,5.64,0.99,7.509721423,0.93
0.644081757,0.083677055,0.025414537,0.134070576,0.05124285,4.188476891,0,0.114884452,0.222974272,0.164022128,0.099422308,0.054596611,0.03481523,0.061863092,5.33,0.86,8.698912849,2.14
0.489997075,0.111312961,0.037603814,0.103300804,0.015011826,3.738950445,0,0.11223095,0.086743245,0.0949579,0.02762743,0.030509647,0.018542035,0.019520774,6.22,0.94,10.59632601,1.83
0.184951792,0.003523501,0.052873876,0.064668708,0.049727638,3.124925771,0,0.032893131,0.063615216,0.091838818,0.047855555,0.076128985,0.011709414,0.013318123,2.55,0.62,7.604657377,1.2
0,0.086510603,0.030214794,0.070941196,0.073004611,2.463273407,0,0.041164096,0.188757355,0.10123936,0.133934421,0.145279732,0.019842136,0.138102937,3.83,1.2,6.239205298,1.23
0.478332659,0.075454634,0.014342968,0.050324338,0.052959195,1.074228072,0,0.038247914,0.081949697,0.070737392,0.063208219,0.019485187,0,0.011757692,2.24,0.71,2.657126547,0.49
0.07578506,0.044364846,0.030971945,0.134101418,0.004530966,1.188740626,0.002282724,0.063916274,0.250816893,0.172411183,0.009144689,0.02828233,0.032220202,0.021289333,5.52,1.76,3.161961932,0.62
0.067884221,0.002111115,0.016707166,0.082829795,0,1.213073072,0,0.056238138,0.121570847,0.059418791,0.007298026,0.040915081,0,0.01300922,1.98,0.5,2.132624148,0.44
0.149261453,0.077702424,0.032997206,0.064362682,0,0.394007003,0.001778167,0.040646812,0.094438116,0.078664726,0.002064069,0.027251285,0,0.020577928,0.65,0.47,1.575662085,0.13
0.068938803,0.045769914,0.043072555,0.090957765,0.001625513,0.447449173,0.054522132,0.06066927,0.161252346,0.117796482,0.007403539,0.088665011,0,0.027087157,1.56,0.79,1.266538608,0.4
