Date O1TC O2TC O3TC O4TC OPTC E1TC E2TC E3TC SO4 NO3 NH4 ALXC ASXC BAXC CAXC COXC CRXC CUXC FEXC HGXC KPXC MNXC NIXC PHXC PBXC RBXC SEXC SIXC SRXC TIXC VAXC ZNXC ZRXC
13JUL2001 0.0560911111 0.1257333333 0.3899333333 0.2496888889 0.0418222222 0.5362955556 0.1415888889 0.0003966667 0.4930333333 0.0888888889 0.0894444444 0.0247266667 0.0196936667 0.0748 0.0037722222 0.0027806667 0.0023998333 0.000632 0.0030366667 0.0024083333 0.0032977778 0.0007123333 0.0010596667 0.0003558333 0.0021866667 0.0024112222 0.0005136667 0.0064911111 0.00658 0.00425 0.00323 0.0010253333 0.0025245
14JUL2001 0.0461911111 0.1309333333 0.3558333333 0.1340888889 0.0642222222 0.3082955556 0.1572888889 0.0220133333 0.4930333333 0.0888888889 0.0894444444 0.0236266667 0.0013536667 0.0748 0.0032822222 0.0004923333 0.0023998333 0.001224 0.0090266667 0.0024083333 0.0015817778 0.0050193333 0.0010596667 0.0023516667 0.0039566667 0.0029602222 0.0007618333 0.0119911111 0.00658 0.00368 0.00323 0.0016333333 0.0025245
15JUL2001 0.0653911111 0.1526333333 0.3369333333 0.1396888889 0.1118222222 0.2720955556 0.2239888889 0.0223133333 0.4930333333 0.0888888889 0.0894444444 0.0260266667 0.0021836667 0.0748 0.0038022222 0.0025306667 0.0023998333 0.000517 0.0029566667 0.0024083333 0.0033177778 0.0006933333 0.0010596667 0.0003558333 0.0012936667 0.0000522222 0.0004846667 0.0064211111 0.00658 0.0449 0.01925 0.0006753333 0.0025245
16JUL2001 0.1009911111 0.1853333333 0.3689333333 0.1516888889 0.1625222222 0.3924955556 0.2321888889 0.0270133333 0.4930333333 0.0888888889 0.0894444444 0.0233266667 0.0010278333 0.0748 0.0033122222 0.0004923333 0.0023998333 0.001173 0.0088666667 0.0024083333 0.0015427778 0.0049093333 0.0010596667 0.0027016667 0.0038566667 0.0000522222 0.0007618333 0.0121911111 0.00658 0.00359 0.001559 0.0016033333 0.009567
17JUL2001 0.0529911111 0.1283333333 0.2901333333 0.1212888889 0.0924222222 0.3038955556 0.1779888889 0.0222133333 0.4930333333 0.0888888889 0.0894444444 0.0124266667 0.0010278333 0.0748 0.0038822222 0.0024006667 0.0023998333 0.000697 0.0029266667 0.0024083333 0.0035677778 0.0008323333 0.0010596667 0.0003558333 0.0013716667 0.0000522222 0.0005066667 0.0085911111 0.00658 0.00425 0.00323 0.0007593333 0.0025245
18JUL2001 0.0623911111 0.1234333333 0.3120333333 0.1170888889 0.0478222222 0.3284955556 0.1568888889 0.0171133333 0.4930333333 0.0888888889 0.0894444444 0.0262266667 0.0014536667 0.0748 0.0033722222 0.0004923333 0.0057123333 0.001664 0.0099166667 0.0024083333 0.0016027778 0.0054893333 0.0010596667 0.0032916667 0.0042966667 0.0032422222 0.0007618333 0.0144911111 0.00658 0.00398 0.00323 0.0019333333 0.010707
19JUL2001 0.0319911111 0.0825333333 0.2254333333 0.0898888889 0.0007777778 0.1216955556 0.1419888889 0.0200133333 0.4930333333 0.0888888889 0.0894444444 0.0079666667 0.0030036667 0.03364 0.0030522222 0.0020106667 0.0023998333 0.00077 0.0027366667 0.0024083333 0.0030677778 0.0007453333 0.0010596667 0.0039416667 0.0012846667 0.0000522222 0.0004546667 0.0055211111 0.00658 0.00425 0.00323 0.0007183333 0.0025245
20JUL2001 0.0373911111 0.1060333333 0.2944333333 0.1197888889 0.0473222222 0.2760955556 0.1917888889 0.0239133333 0.4930333333 0.0888888889 0.0894444444 0.0234266667 0.0010278333 0.0748 0.0031722222 0.0004923333 0.0023998333 0.001184 0.0089266667 0.0024083333 0.0015787778 0.0049493333 0.0010596667 0.0023916667 0.0038766667 0.0000522222 0.0007618333 0.0121911111 0.00658 0.00362 0.001568 0.0016433333 0.0025245
21JUL2001 0.0913911111 0.1271333333 0.2567333333 0.1050888889 0.1926222222 0.2644955556 0.1937888889 0.0347133333 0.4930333333 0.0888888889 0.0894444444 0.0108966667 0.0031536667 0.0748 0.0037322222 0.0021306667 0.0023998333 0.000532 0.0028566667 0.0024083333 0.0034777778 0.0007943333 0.0025036667 0.0003558333 0.0014086667 0.0023602222 0.0005056667 0.0074111111 0.00658 0.00425 0.00323 0.0007133333 0.0025245
22JUL2001 0.0990911111 0.1700333333 0.3178333333 0.1202888889 0.1475222222 0.2966955556 0.2093888889 0.0280133333 0.4930333333 0.0888888889 0.0894444444 0.0246266667 0.0013336667 0.0748 0.0050122222 0.0004923333 0.0051423333 0.001184 0.0103066667 0.0024083333 0.0016697778 0.0049493333 0.0010596667 0.0027616667 0.0039166667 0.0029212222 0.0007618333 0.0193911111 0.00658 0.00371 0.001652 0.0019833333 0.009627
