,"NORMALIZED TO OC, WEIGHTED BY EMISSION RATE",,,,,,,,,,,,,,,,,,,,,,,MG/MG OC ALL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pre 1990,pre 90 no bus,1990-1993,90-93 no bus,1994-1997,1998+,PC,I,II,III,BUS,ID ALL,HCS,HW,CCS,CSJ,UD,HCSF,CCSF,MC,SI,,,pre 1990,pre 90 no bus,1990-1993,90-93 no bus,1994-1997,1998+,PC,I,II,III,BUS,ID ALL,HCS,HW,CCS,CSJ,UD,HCSF,CCSF,MC,SI
UNC,0,0,0,0,0.015828877,0,0,0,0,0.006023518,0,0,0,0.018767749,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,6.89703E-06,0.00000001,0.00000001,0.00000001,0.00000001,2.65361E-06,0.00000001,0.00000001,0.00000001,8.2347E-06,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
PENTADECANOIC ACID,0,0,0,0,0.020089558,0,0,0,0,0.00772934,0,0,0,0.0239859,0,0,0,0,0,0,0,,PENTADECANOIC ACID,0,0,0,0,2.00896E-05,0,0,0,0,7.72934E-06,0,0,0,2.39859E-05,0,0,0,0,0,0,0
UNC,0,0,0,0,0.009257702,0,0,0,0,0.003523232,0,0,0,0.01097714,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,4.01792E-06,0.00000001,0.00000001,0.00000001,0.00000001,1.5459E-06,0.00000001,0.00000001,0.00000001,4.79719E-06,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
PALMITOLEIC ACID,0,0,0,0,0.146643066,0,0,0,0,0.056420061,0,0,0.071050763,0,0,0,0,0,0,0,0,,PALMITOLEIC ACID,0,0,0,0,0.000146643,0,0,0,0,5.64201E-05,0,0,7.10508E-05,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0.028396184,0,0,0,0,0.010236405,0,0,0.01322709,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,2.93286E-05,0.00000001,0.00000001,0.00000001,0.00000001,1.1284E-05,0.00000001,0.00000001,1.42102E-05,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
PALMITIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PALMITIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
HEPTADECANOIC ACID,0.002508072,0.004072101,0,0,0,0,0,0,0,0.00216823,0,0,0,0.006728512,0,0,0,0,0,0,0,,HEPTADECANOIC ACID,2.50807E-06,4.0721E-06,0,0,0,0,0,0,0,2.16823E-06,0,0,0,6.72851E-06,0,0,0,0,0,0,0
UNC,0.001102475,0.001791171,0,0,0,0,0,0,0,0.000953753,0,0,0,0.002972429,0,0,0,0,0,0,0,,UNC,5.01714E-07,8.14482E-07,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,4.33761E-07,0.00000001,0.00000001,0.00000001,1.34574E-06,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
LINOLEIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,LINOLEIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
OLEIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OLEIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
