SummerSecondary,WinterSecondary,Mobile,SteelMill,Soil,ZincSmelter,Fireworks,CopperSmelter,LeadSmelter
7.759,1.4058,3.7494,1.1281,0.61434,0.93574,0.061273,0.45967,0.34086
6.6539,0.30165,4.0515,0.84207,0.41356,1.4534,0.010749,0.28702,2.6185
6.8016,0.26942,3.8709,1.0325,0.57905,0.9663,0.079134,0.2425,0.35531
11.208,0.55149,2.487,0.51493,0.44921,1.3415,0.12089,0.35181,0.43083
2.8293,0.00043729,0.027147,0.012527,0.046811,0.33383,0.10392,4.6149,1.9517
3.6071,1.1287,1.6125,0.4953,0.17375,0.062368,0.067353,0.19537,0.031307
6.8432,0.8591,1.441,0.28256,0.23878,0.070809,0.11476,0.0014467,0.010338
4.4745,1.8216,0.64593,0.22225,0.04912,0.044889,0.00040134,0.073137,0.032789
3.1373,1.8472,0.3254,0.16852,0.039167,0.017286,0.0078062,0.010057,0.00068479
2.175,0.46246,1.0119,0.28172,0.15718,0.08864,0.030948,0.26586,0.019469
1.2915,0.32595,1.3223,0.7403,0.17636,0.19866,0.030879,0.87297,0.12167
1.2948,0.54266,1.4064,0.49312,0.1242,0.1298,0.015219,0.038958,0.025038
2.1025,0.47104,2.1479,0.24622,0.34806,0.19617,0.051957,0.31438,0.025355
2.7621,1.7438,3.2491,1.0612,0.36357,0.4752,0.12111,0.54129,0.27219
7.1116,1.8856,3.0071,0.92163,0.37198,0.25837,0.18866,1.0513,0.48458
10.058,1.5127,0.97431,0.25459,0.35139,0.44816,0.14935,0.21342,0.20748
10.814,1.6607,2.4223,0.39289,0.37544,0.10302,0.16098,0.82392,0.043224
5.8133,0.36414,0.95005,0.31476,0.16509,0.37459,0.093529,0.64485,0.19648
3.0738,0.49869,1.206,0.21464,0.24488,0.033332,0.049867,0.056087,0.0093896
1.5129,0.099792,1.0668,0.21494,0.22835,0.023073,0.034529,0.018552,0.0090464
1.9879,0.23846,1.2958,0.22354,0.2207,0.026276,0.022539,0.0042753,0.010853
2.2705,2.0711,2.2134,0.49669,0.16789,0.083054,0.067822,0.012893,0.059111
2.3513,2.8125,2.9971,0.51651,0.16389,0.16688,0.21608,0.0074664,0.20049
3.6132,0.85429,2.8247,0.24842,0.53145,0.060137,0.12577,0.022105,0.050683
4.9183,1.5723,3.5705,0.71006,0.64892,0.22815,0.25328,0.022714,0.086588
6.3933,0.43075,2.0568,0.19416,0.28177,0.075595,0.24086,0.14313,0.02594
2.5463,0.70186,2.8682,1.1821,0.19158,0.26482,0.093903,0.85278,0.056915
1.7173,1.4765,3.8151,1.9126,0.65574,0.29127,0.1709,0.11755,0.20538
1.0369,1.2877,2.9502,0.95639,0.19329,0.61073,0.14458,0.098247,1.3167
2.5797,1.5229,6.2124,1.185,0.36151,0.1336,0.14441,0.047837,0.056778
4.6684,1.7611,5.5435,1.3049,0.52728,0.90415,0.14467,1.3959,0.21711
5.3786,3.7103,3.0402,0.45912,0.27962,0.25648,0.21213,0.11827,0.38017
2.4892,3.1255,4.386,1.2472,0.1797,0.53028,0.072514,0.6643,0.25849
1.7428,3.456,2.7519,0.70949,0.21333,0.2533,0.22118,0.029624,0.22422
3.3915,2.9622,3.136,1.8501,0.23377,0.17859,0.16398,0.06316,0.16463
7.9954,1.6339,3.7364,1.0146,0.5054,0.13487,0.18113,0.29267,0.056612
12.157,5.3172,3.8879,0.5824,0.6215,0.14418,0.2721,0.034323,0.099852
13.268,19.272,2.8553,0.86846,0.42345,0.92332,0.15625,0.15479,0.3108
3.2748,1.7887,1.6901,0.34377,0.25906,0.14729,0.099275,0.014842,0.0058296
0.45756,2.826,3.8079,1.0216,0.21628,0.17976,0.07051,0.070945,0.053769
2.306,1.7831,0.95078,0.3813,0.14391,0.079853,0.013143,0.056858,0.013757
4.0182,4.0504,0.11803,1.0516,0.19767,0.42525,0.035714,0.012199,0.049529
2.5469,0.79522,0.0009916,1.5501,0.16474,0.44397,0.10007,0.030781,0.055837
2.1219,1.0704,0.39246,0.18672,0.046588,0.074013,0.022745,0.1234,0.039573
2.7655,6.1635,1.418,0.68515,0.14151,0.33165,0.034423,0.47727,0.65815
3.4807,5.9151,2.5913,0.42262,0.11232,0.072857,0.059309,0.016528,0.048446
4.609,2.4978,2.359,0.62301,0.19177,0.20242,0.090294,0.34046,0.051073
5.2344,0.82307,1.3239,0.20803,0.17845,0.07844,0.10779,0.23984,0.061947
11.227,1.305,1.5915,0.18493,0.24175,0.035468,0.14216,0.017883,0.0046981
1.6657,1.6238,1.0128,0.59063,0.10949,0.15627,0.042589,0.087587,0.15343
5.3052,1.5943,0.43491,0.59085,0.12027,0.38834,0.051382,0.003196,0.39106
0.7947,3.4858,1.925,0.82434,0.12053,0.20898,0.058582,0.04644,0.068533
2.152,5.8827,3.5253,1.5566,0.18306,0.27224,0.12846,0.39878,0.59453
7.1298,9.6462,1.5738,1.5524,0.27994,0.24284,0.14119,0.16896,0.20057
3.472,3.1624,0.48031,0.37296,0.11785,0.058833,0.033148,0.023302,0.028521
3.0878,2.8667,0.76926,0.32222,0.099391,0.082774,0.023617,0.036989,0.070609
2.9805,2.1663,0.31512,0.10931,0.097886,0.034744,0.033365,0.0019279,0.0067234
4.119,5.2452,0.47228,0.46417,0.092629,0.091971,0.012042,0.013597,0.045357
2.9343,2.9703,1.6405,0.65675,0.11728,0.13125,0.043476,0.27278,0.22171
1.8998,3.0652,1.6126,0.46281,0.11865,0.14098,0.036816,0.027287,0.052051
1.2214,1.4052,2.9834,1.156,0.13719,0.7372,0.062626,0.021172,0.3327
1.1632,2.3685,2.1055,1.1175,0.27125,0.53463,0.089313,0.054534,0.63031
3.431,1.9474,0.68881,0.18935,0.14116,0.053713,0.063204,0.0014287,0.010252
3.0838,2.3455,0.64786,0.13334,0.2097,0.10262,0.022262,0.00055038,0.0022386
0.86021,2.5922,0.60408,0.15974,0.088111,0.046065,0.059739,0.012543,0.015285
2.0115,2.919,1.0169,0.18164,0.1532,0.079384,0.14167,0.0026728,0.023119
2.0427,3.566,0.8176,0.15199,0.10914,0.038376,0.031664,0.0057036,0.0087396
1.4053,2.7335,5.3848,1.0824,1.3127,0.11447,0.037021,0.011861,0.02147
1.9447,2.9132,1.7122,0.3726,0.12013,0.23628,0.031385,0.010063,0.032928
1.6752,1.795,1.0602,0.17572,0.16276,0.12645,0.031892,0.018568,0.026999
1.998,2.2172,1.4746,0.13747,0.090271,0.17062,0.075689,0.020801,0.0060711
4.1968,3.4665,1.2867,0.23431,0.094057,0.057989,0.10979,0.0090928,0.016435
2.2127,3.5672,3.5552,0.59703,0.1268,0.44073,0.19699,0.035952,0.098455
2.1391,10.057,2.7256,0.49796,0.26598,0.63261,0.082455,0.096027,0.088532
3.0649,9.4236,4.5932,0.64568,0.20123,0.56075,0.093111,0.084273,0.11634
2.876,4.3671,2.6178,0.28096,0.27391,0.55709,0.15098,0.096484,0.22175
2.2015,8.553,0.14057,0.058079,0.84226,1.2539,0.32361,3.2662,0.041226
5.3397,9.8317,0.74979,0.00094004,0.1469,0.49831,0.01149,0.062644,0.035027
3.6314,3.7251,1.652,0.30342,0.10349,0.24765,0.097415,0.12334,0.081954
1.9042,2.8003,1.7222,0.25804,0.5556,1.1374,0.30433,1.0837,0.1526
2.2366,2.9583,3.0653,1.6812,0.48466,8.226,0.3108,0.93104,1.151
0.82596,3.5476,6.2723,4.1589,0.34099,0.78534,0.33979,0.35182,1.9851
2.2186,5.426,2.3374,1.3491,0.5217,0.9022,0.28589,0.5397,0.65899
0.96807,3.9094,0.76256,0.19572,0.47117,0.92364,0.27174,0.717,0.1188
1.308,3.5236,1.448,0.19252,0.54514,1.4616,0.29448,1.1371,0.11181
3.8068,3.0319,0.95499,0.14141,0.2042,0.36716,0.020447,0.6616,0.022512
2.1163,2.4413,3.3289,1.2587,0.15832,0.2476,0.061978,0.01821,0.06917
2.2667,3.9448,1.7073,0.43392,0.12411,0.1264,0.04255,0.1027,0.031943
3.5663,5.2066,4.355,0.55796,0.11577,0.47791,0.035382,0.072365,0.16658
4.5772,9.5066,1.1918,0.93127,0.051849,0.46826,0.076169,0.26562,0.27024
5.5734,11.65,0.21421,0.23628,0.087829,0.24475,0.024588,0.050614,0.050345
7.2746,4.5444,0.90788,0.048077,0.087565,0.069416,0.07959,0.10495,0.07678
3.2731,3.158,1.9989,0.19102,0.12386,0.6946,0.022112,0.70703,0.10372
1.5089,1.8161,1.6777,0.33486,0.60669,0.084792,0.062028,0.0086019,0.031405
6.3184,4.545,0.84009,0.43759,0.15261,0.21841,0.097584,0.076234,0.12187
6.519,0.6884,1.5107,0.50658,0.12975,0.14207,0.093537,0.039102,0.054441
2.9645,5.286,2.3561,0.31145,0.042795,0.5066,0.080335,0.4148,0.62704
1.4709,2.3431,1.8161,0.34172,0.14993,0.13026,0.081724,0.047763,0.12149
2.1727,2.0644,1.9794,0.25244,0.15184,0.073503,0.10498,0.04294,0.018175
5.2506,2.8237,3.1931,0.50858,0.25598,0.26768,0.18699,0.1239,0.088142
6.0139,11.347,2.7872,3.023,0.15794,0.45523,0.15044,0.026819,0.18296
2.6964,3.7897,0.052433,1.3801,0.057403,0.17698,0.023952,0.029646,0.04527
1.5849,1.6884,0.24231,1.1036,0.086154,0.1669,0.046077,0.022983,0.028671
2.832,3.6367,0.81545,0.3722,0.073755,0.092774,0.026176,0.025154,0.012987
2.5285,4.7471,1.5456,0.63279,0.14968,0.17383,0.063513,0.045503,0.080028
1.7389,3.9901,0.39527,0.11285,0.054396,0.75468,0.045535,0.012974,0.25508
3.0519,4.9862,1.63,1.0294,0.15596,0.26917,0.066658,0.014018,0.070259
2.3366,1.4833,3.4595,0.27792,0.10825,0.12426,0.087019,0.0064757,0.076111
2.2695,4.0317,4.4808,0.34347,0.17439,0.091257,0.11523,0.044567,0.13663
3.3758,9.8659,3.3267,1.3165,0.19012,0.34304,0.10031,0.071788,0.10462
4.2144,4.7593,0.92762,0.3585,0.08318,0.744,0.034997,0.18638,0.52334
4.1935,2.4301,1.7955,0.24175,0.24084,0.080592,0.046333,0.0057711,0.0074696
4.1134,3.2151,0.18704,0.074541,0.089553,0.027135,0.0058962,0.016124,0.005486
1.7943,3.6278,1.0935,0.21769,0.11055,0.096163,0.0011116,0.57063,0.041345
1.0055,1.002,1.2128,0.43031,0.39387,0.11047,0.03716,0.0078689,0.042966
1.8489,2.4125,2.4754,0.65835,0.23481,0.089941,0.045533,0.029637,0.067647
2.2232,2.6323,2.2449,0.39137,0.17721,0.27071,0.04348,0.72438,0.12786
2.037,2.7467,1.0989,0.43804,0.19474,0.16522,0.058802,1.0768,0.35375
1.6554,1.2655,1.3709,0.24751,0.12292,0.47711,0.063841,0.04465,0.37224
2.2513,2.6857,1.1315,1.0464,0.15058,0.3201,0.050675,0.0085943,0.018853
2.2616,3.232,1.9599,0.22635,0.17496,0.065746,0.062289,0.0030007,0.017272
3.5985,3.3732,0.80275,0.1197,0.10653,0.038778,0.072532,0.049967,0.015471
4.4391,3.3665,0.36911,0.19029,0.14568,0.11524,0.022048,0.21723,0.0041712
6.2357,3.31,0.55707,0.17536,0.090689,0.034716,0.01589,0.0068926,0.038712
3.926,3.884,2.0341,0.63825,0.15462,0.38122,0.040018,0.0090093,0.68577
2.6571,2.5288,2.3778,0.39836,0.19964,0.21744,0.078137,0.042505,0.16386
4.5594,2.3565,1.6668,0.23829,0.25916,0.066743,0.067569,0.0077645,0.065118
5.2918,4.5333,0.66229,0.19034,0.088193,0.17481,0.033588,0.21171,0.03824
2.9383,2.1961,0.69302,0.087292,0.10628,0.040409,0.015952,0.00080234,0.0078272
1.4188,2.7213,1.2695,0.41779,0.1797,0.058005,0.026515,0.012898,0.037256
1.5233,4.6139,3.1885,1.0523,0.16255,0.27987,0.10354,1.1409,0.21094
1.9138,3.755,1.6029,0.6968,0.25712,0.12081,0.094166,4.9767e-05,0.031181
2.7032,4.4899,0.59163,0.19093,0.25518,0.10567,0.083862,0.083635,0.017544
1.382,2.2203,0.61017,0.12169,0.26348,0.016855,0.044569,0.0003855,0.018909
2.6718,3.6327,1.3229,0.10386,0.10956,0.35,0.028359,0.14989,0.041353
2.9319,3.9578,1.6417,0.26814,0.22514,0.23617,0.084198,1.5597,0.2142
4.6072,2.0093,1.2685,0.18788,0.29747,0.1313,0.11252,2.3868,0.024695
5.2286,3.676,1.2965,0.42474,0.28555,0.07534,0.094324,0.43603,0.037171
3.9004,1.9753,1.6525,0.19358,0.27827,0.023957,0.08385,5.2884e-05,0.0019085
