"","date","winddir","Na","Mg","Al","Si","Ph","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Mo","Pd","Ag","Cd","In","Sn","Sb","Ba","La","Au","Hg","Tl","Pb","U","OC","EC","SO","NO"
"27","2001-06-14",179,0.2097962,0,0.1107721,0.4171661,0,1.86269,0,0.2409753,0.2226597,0,0,0.000997004,0.002663326,0.1510148,0.001136446,0.000690234,0.001352579,0.03009838,0,0.0004741,0.000613541,0.006818673,0.000383463,0.001429272,0,0.000843619,0,0.001136446,0,0,0,0,0,0.04231342,0,0,0,0,0.002823684,0.000167329,3.79,0.89,4.33428,0.71
"28","2001-06-15",284,0.315099,0.07893789,0.02445556,0.1082846,0,0.5748844,0,0.0413615,0.1061825,0,0,0,0.002424948,0.09236097,0.001181561,0.000130521,0.002713469,0.02244279,0,0,0.000810606,0.001786081,0.000844954,0.002452426,0.000515216,0,0.000171739,0,0,0.001263995,0,0.00059078,0,0.02953903,0.003414162,0,0.00029539,0,0.01430925,0.000638867,1.67,0.54,1.266249,0.38
"29","2001-06-16",241,0,0.0476435,0.03633082,0.1167867,0,0.9995506,6.37134e-05,0.05311577,0.1637294,0,0,0.000814116,0.003631666,0.1080438,0.001783976,0.000941543,0.002633489,0.07022637,0,0.006987241,0.001500805,0.000247774,0.000700848,0.000417677,8.49513e-05,0.000311488,0.00029025,0.001798135,0,0.00747571,0,0.003093641,0,0.01395324,0.004601526,0,0,0.004927173,0.1016229,0.000856592,4.89,0.77,2.145474,0.48
"30","2001-06-17",201,0.402427,0.01679904,0.05424918,0.1425805,0,1.195098,0,0.08095447,0.1713311,0,0,0,0.003415714,0.1456894,0.000265894,0.000620419,0.004111129,0.07974772,0,0.007826826,0.000484063,0.003817964,0.000149991,0.000320436,0.000259076,0,0,0,0,0.002031702,0.002393045,0.006061018,0,0.03290949,0.02308505,0,0,0.000415885,0.02092381,9.54491e-05,5.75,1.29,2.503867,0.38
"31","2001-06-18",197,0.3356356,0.08330522,0.04072684,0.1948623,0,1.520375,0,0.1786701,0.1543044,0,0,0,0.005871423,0.09166883,0.000401284,0,0.003196194,0.1911592,0.000105601,0.004400047,0.001217933,0.005892544,0.000591366,0.001527696,0,0.000253443,0,0.001605137,4.92805e-05,0,0,0.000823689,0.001943061,0.01551633,0.02033878,0,0,0.000711048,0.0392977,0.00097153,4.19,0.88,2.991389,0.29
"32","2001-06-19",254,0.5952924,0.05771276,0.05151883,0.2448865,0,3.162718,0,0.1631348,0.2387551,0,0,0,0.01345843,0.1372121,0.001119219,0,0.00341327,0.05149797,0,0.000653457,0.00237052,0.01178308,0.000305873,0.00075078,0.000236357,0.00062565,0,0.001543271,0.001710111,0.001181784,0,0,0.001904758,0.0257907,0.02301003,0,0,0.000152937,0.02314906,0.001147026,5.36,0.71,5.902564,0.66
"33","2001-06-20",46,0.2706797,0.0762801,0.043668,0.12504,0,2.331825,0,0.07873462,0.08842612,0,0,0,0.003762664,0.1636091,0.000478245,0.000154726,0.01370032,0.06204527,0,0.000640005,0.001920014,0.005098937,0.000527476,0.00125891,0,0,0,0,0.001540231,0.001547264,0.002771008,0.005253663,0,0.04202931,0.03121253,0,0,0.000492311,0.034722,0,3.74,0.65,5.136088,1.82
"34","2001-06-21",303,0.3493953,0.07522772,0.05129036,0.06693452,0,3.360388,0,0.05779606,0.07567806,0.004156993,0.002570407,0.000263276,0.003484946,0.07085595,0.000422628,0.000103925,0.004226276,0.02671561,0,0.002071568,0.001801364,0.004337129,0.000374129,0.000665119,0.000346416,0.000803685,0,0,0,4.84983e-05,0,0.00086604,0.004766685,0.005702009,0.007156956,0,0,0,0.009886715,9.00682e-05,2.47,0.73,7.192441,2.29
"35","2001-06-22",357,0,0.0780062,0.03540373,0.08953822,0,1.598864,0,0.05931758,0.08255018,0,0,0,0.008420765,0.1280532,0.001039427,0,0.00382762,0.05393082,0,0.000737431,0.001397608,0.002654753,0,0.000505667,0.00040032,0.000372227,0.000280926,0,0.001636396,0.007072319,0.002563452,0,0,0.03227141,0.008329464,0,7.72547e-05,8.42779e-05,0.01072436,0,2.62,0.76,3.963334,1.43
"36","2001-06-23",4,0.3780671,0.03208167,0.01852711,0.06767541,0,2.0141,0,0.05754949,0.1069829,0.005911428,0.000765008,0.000146047,0.009235736,0.1519306,0.00036164,0.000285139,0.005146419,0.08449864,0,0.001509153,0.001905566,0.002955714,0.000333822,0.001404833,0,0.000319913,0,0,0,0.002023795,0,0.000431186,0.002566255,0.005396786,0.001995976,0,0,0.000869328,0.01324855,0.000159956,3.05,0.53,4.873112,0.84
"37","2001-06-24",142,0,0,0,0.0510816,0,3.275745,0,0.07323477,0.08296192,0.004905745,0.00053415,0,0.001412686,0.06645247,0.000421697,0.000323301,0.002853485,0.01438691,0,0.001082356,0.002031175,0.07486533,0,0.000906649,0,0.000766083,0.000927734,0,0.000189764,0,0.000562263,5.62263e-05,5.62263e-05,0,0,0,0,0.000140566,0.01402144,0.000885564,11.87,0.51,7.758515,1.29
"38","2001-06-25",158,0.5228436,0.06536341,0.05529009,0.1126528,0,5.251228,0,0.08005603,0.1580182,0.009549849,0.000106109,0.00044566,0.0025537,0.1252233,0,0.000919615,0.002843733,0.01936143,0,0.00153505,0.002949842,0.01124053,9.90355e-05,0.001181352,0.00071447,0.000452734,8.48875e-05,0.00078521,0,0,0,0,0.002921546,0.008127982,0,0,0,0.000466881,0.008884896,0.001025724,4.21,0.6,12.3572,1.21
